Custom Range Audit Report
Client,0
Period,2026-04-01 to 2026-06-30
Version,1
Status,approved

Financial Summary
Metric,Value
metrics,"[{'up': True, 'delta': '+6.2%', 'label': 'Total revenue', 'value': '$2,659,000'}, {'up': True, 'delta': '+2.1%', 'label': 'Total expenses', 'value': '$1,884,300'}, {'up': True, 'delta': '+18.4%', 'label': 'Net income', 'value': '$774,700'}, {'up': False, 'delta': '-9.7%', 'label': 'Outstanding invoices', 'value': '$142,900'}]"

AI Insights / Observations
Severity,Text
flag,Marketing spend in April is 34% above the trailing 6-month average.
note,Vendor payments to Halloway Supply were consolidated into two batches.

Commentary
"Q2 shows continued top-line growth, driven primarily by the enterprise segment."
